brute|n. 野兽；残忍的人；adj. 残忍的；野兽般的；粗暴的
cruel|adj. 残酷的；冷酷的
originate|v. 起源；发源；创始
derive|v. 起源；来自；源自；得到
stem|n. 柄；茎；词干；v. 阻止；起源于(~ from)
ancestor|n. 祖先；祖宗
descendant|n. 后裔；子孙；后代
offspring|n. 后代；子女；幼苗
subgroup|n. 子群；小群；小组；小团体
feed|v. 喂；吃；饲养；n. 饲养；喂养
breed|v. 饲养；交配繁殖；n. 品种
interbreed|v. （使）异种交配；（使）杂种繁殖
hybridise|v. 杂交
proliferate|v. 繁殖；激增；扩散
sterility|n. 无菌；不育；不孕
mate|n. 伙伴；伴侣；v. 使 ... 配对；交配
courtship|n. 求爱；恋爱；求偶
lay|v. 放置；安放；下蛋；adj. 外行的；非专业的；v. 躺；“lie”的过去式
hatch|v. 孵出；出壳；秘密策划；n. 舱口；小窗口
brood|v. 孵（蛋）；沉思；忧思；n. 一窝动物；一大家孩子
spawn|n. 卵；产物；v. 产卵
mature|adj. 成熟的；到期的；充分考虑的；v. 成熟；到期
skin|n. 皮肤；毛皮；外皮；v. 剥皮；削皮
claw|n. 爪；钳；v. 抓
paw|n. 爪子；脚爪
beak|n. 鸟喙
fin|n. 鳍；鳍状物；尾翼
wing|n. 翅膀；翼
plume|n. 羽毛；羽饰；（一）股；（一）团；v. 整理羽毛；用羽毛装饰；自夸
feather|n. 羽毛
fur|n. 毛皮；皮草；软毛
bristle|n. 刚毛；猪鬃；v. 大为恼怒；耸起毛发
curl|v. 卷；蜷缩；n. 卷曲
insect|n. 昆虫
worm|n. 蠕虫
pest|n. 害虫
parasite|n. 寄生虫；寄生生物；依赖他人过活者
spider|n. 蜘蛛
butterfly|n. 蝴蝶
mosquito|n. 蚊子
cricket|n. 板球；蟋蟀
penguin|n. 企鹅
seal|n. 海豹；印章；v. 密封；封上
tortoise|n. 乌龟
turtle|n. 龟；海龟
whale|n. 鲸；v. 捕鲸
kangaroo|n. 袋鼠
camel|n. 骆驼
panda|n. 熊猫
elephant|n. 大象
ivory|n. 象牙；乳白色
horn|n. 角；号角；喇叭
bear|n. 熊；v. 负荷；带有；忍受；承受；生（孩子）
wolf|n. 狼；残忍贪婪之人；色狼；v. 狼吞虎咽
dragon|n. 龙；悍妇
fox|n. 狐狸；狡猾的人
cub|n. 幼兽；年轻人
calf|n. 小牛；牛犊；小腿肚
pup|n. 小狗；（海豹等）幼崽
lamb|n. 羔羊；小羊；羔羊肉
cattle|n. 牛（复数名词）；家畜
ox|n. 公牛；（阉割的）公牛
bull|n. 公牛；雄性大动物；胡扯；废话
buffalo|n. 水牛；野牛
horse|n. 马；v. 骑马
zebra|n. 斑马
donkey|n. 驴
saddle|n. 马鞍；鞍座；v. 给（马）装鞍
harness|n. 马具；挽具；v. 套马具；驾驭；利用；治理
falcon|n. 猎鹰
hawk|n. 鹰；隼；v. 兜售；沿街叫卖；鹰扑；用力咳
eagle|n. 鹰
owl|n. 猫头鹰
swallow|v. 吞咽；轻信；n. 燕子；吞咽
sparrow|n. 麻雀
pigeon|n. 鸽子
crow|n. 乌鸦；雄鸡的啼声；v. 打鸣；啼叫；欢叫；自鸣得意
swan|n. 天鹅；v. 闲逛；随意旅行
goose|n. 鹅；雌鹅；鹅肉
cock|n. 公鸡
mouse|n. 老鼠；鼠标
rat|n. 老鼠；耗子
squirrel|n. 松鼠；v. 贮藏
hare|n. 野兔
frog|n. 青蛙
behaviour|n. 行为；举止；表现
bite|v. 咬；叮；上钩；n. 咬；咬伤；上钩
sting|v. 刺；刺痛；n. 刺；刺痛
bark|v. 狗吠；咆哮；厉声说；n. 犬吠声；树皮
roar|v. 吼叫；咆哮；n. 吼叫；咆哮
rub|v. 擦；摩擦；n. 擦；摩擦；阻碍
creep|v. 爬行；匍匐；蹑手蹑脚地走；汗毛直竖；n. 讨厌鬼；马屁精
crawl|v. 爬；爬行
habitat|n. 栖息地；居留地；产地
nest|n. 窝；鸟巢；（能叠放在一起的）一套物件；v. 筑巢；嵌套
hive|n. 蜂箱；蜂巢；蜂群；闹市；v. 使（蜂）入蜂箱；群居
cell|n. 细胞；小房间；牢房；单元格
cage|n. 笼子；vt. 把…关进笼子
stable|adj. 稳定的；牢固的；稳重的；n. 马厩；畜舍
barn|n. 谷仓；牲口棚
hedge|n. 树篱；防范措施；v. 用树篱围住；限制；避免
barrier|n. 屏障；障碍；栅栏
