puma|n. 美洲狮
attach|v. 系上；贴上；附加；使依附；使相关；隶属于
sphere|n. 球体；范围
magnetize|v. 使磁化；强烈吸引
repel|v. 排斥；相斥；击退；驱逐
flicker|v. 闪烁；摇曳；闪现；n. 闪烁；摇曳；闪现
emit|v. 发出；发射
flash|v. 闪光；闪现；n. 闪光；一刹那
prehistoric|adj. 史前的；陈旧的
electronic|adj. 电子的
peculiar|adj. 奇怪的；独特的
shock|n. 震惊；震动；冲击；电击；休克；浓密的头发；v. 使震惊；使震动；adj. 浓密的
emotionally|adv. 感情上；情绪上
dear|adj. 亲爱的；宝贵的；昂贵的；n. 亲爱的人；可爱的人
kidnapper|n. 绑匪；绑架者
considerable|adj. 重要的；相当大的；可观的
wealthy|adj. 富有的；富裕的
orderly|adj. 有秩序的；整齐的
disappearance|n. 消失；不见
anonymous|adj. 匿名的；无名的；不知名的
ransom|n. 赎金；v. 赎回
cardboard|n. 纸板；硬纸板；adj. 硬纸板做的；虚假的
withdraw|v. 撤回；撤退；提取
punctually|adv. 准时地
astound|v. 使震惊；使大惊
pioneer|n. 拓荒者；先驱者；创始者；倡导者；v. 开拓；做先锋；倡导
lord|n. 主；上帝；勋爵；统治者
Calais|n. 加来
overland|adj. 横跨陆地的；通过陆路的；adv. 由陆路
boxing|n. 拳击运动；v. 拳击；装箱
boxer|n. 拳击手；拳师犬
bare|adj. 赤裸的；空的；光秃秃的；仅有的；v. 使露出
prizefighter|n. 职业拳击手
crude|adj. 未加工的；粗鲁的；简陋的
marquis|n. 侯爵
technically|adv. 技术上；学术上；专业上；严格说来
science|n. 科学
popularity|n. 普及；流行
adore|v. 爱慕；敬慕；崇拜
alike|adj. 相同的；相像的；adv. 相同地；相像地
fame|n. 名声；声誉
eminent|adj. 著名的；非凡的；杰出的
bitterly|adv. 痛苦地；刺骨地；激烈地；极其地
bet|n. 打赌；赌注；v. 打赌；敢说
academy|n. 学院
extravagant|adj. 奢侈的；过度的
poverty|n. 贫困；短缺
run|v. 跑步；经营；n. 跑；运转
lines|n. （剧本中的）台词；n. 线；界线；绳；“line”的复数；v. 排队；画线；加衬里；“line”的第三人称单数
part|n. 部分；局部；零件；角色；v. 分离；分开
falter|v. （嗓音）颤抖；支吾；摇晃；踌躇；疲软；n. 支吾；踌躇；不稳；摇晃；疲软
cast|v. 投射；投掷；扔；n. 全体演员
role|n. 角色；职能；作用
aristocrat|n. 贵族
imprison|v. 监禁；束缚
Bastille|n. 巴士底狱
gaoler|n. 监狱看守；狱卒
colleague|n. 同事
curtain|n. 帷幕；窗帘
reveal|v. 揭露；泄露；（使）显露；n. （电视节目¸后的）揭示
cell|n. 细胞；小房间；牢房；单元格
blank|adj. 空白的；n. 空白处
squint|v. 眯着眼看；斜视；n. 斜视；一瞥
dim|adj. 暗淡的；昏暗的；模糊的；v. （使）变暗淡；（使）变模糊；（使）减弱
sire|n. 雄性种兽；（古语）陛下；v. 繁殖；成为父亲
proceed|v. 进行；继续；继续进行
poison|n. 毒药；毒物；v. 毒害；下毒
illogical|adj. 不合逻辑的；不合理的
octopus|n. 章鱼
delicacy|n. 精美；佳肴；微妙；棘手
repulsive|adj. 排斥的；令人厌恶的；使人反感的
stomach|n. 胃；腹部；v. 忍受；吃得下
turn|v. 转身；转弯；转动；转变；n. 轮到的机会；拐弯；转变
fry|v. 油炸；油煎
fat|adj. 肥的；n. 脂肪
abuse|v. 滥用；虐待；辱骂；n. 滥用；虐待；辱骂
snail|n. 蜗牛
luxury|n. 奢华；奢侈品；难得的享受
associate|v. 把…联系在一起；与…交往；n. 同事；伙伴；adj. 副的
despise|v. 鄙视；蔑视；看不起
appeal|n. 恳求；呼吁；上诉；吸引力；v. 呼吁；吸引；诉请
stroll|v. 闲逛；散步；漫步；n. 闲逛；散步；漫步
impulse|n. 冲动；脉冲；冲动力
dozen|n. 很多； 一打；十二个
fancy|n. 幻想；想象力；爱好；怪想；adj. 花哨的；昂贵的；新奇的；v. 想象；设想；想要；喜爱
skeleton|n. 骨架；骷髅；纲要；梗概；adj. 骨干的；骨骼的
seemingly|adv. 似乎；看似；表面上看
respectable|adj. 可敬的；值得尊敬的；体面的；可观的
conceal|v. 隐藏；隐瞒
vivid|adj. 生动的；鲜艳的；栩栩如生的
dramatic|adj. 急剧的；激动人心的；戏剧（性）的
ruin|n. 毁灭；废墟；v. 毁灭；破坏
heroine|n. 女英雄；女主角
fiction|n. 小说；虚构
varying|adj. 不同的；v. 改变；变化；“vary”的现在分词
medicine|n. 药；医学
guestroom|n. （私人住宅的）客房
unpack|v. 从（箱等中）取出
stack|n. 一摞；一叠；一堆；大烟囱；v. 把…放成整齐的一摞
underclothes|n. 内衣裤；贴身衣
drawer|n. 抽屉；起草者；开票人
petrify|v. 使石化；使僵化；吓呆
dangle|v. 悬垂；吊摆
sway|v. 摇摆；摇动；影响；n. 摇摆；影响；支配
unsympathetic|adj. 无同情心的；冷漠的；不讨人喜欢的；不赞成的
medical|adj. 医疗的；医术的
impressive|adj. 令人印象深刻的；令人钦佩的
steamship|n. 轮船；汽船
vessel|n. 器皿；容器；船；血管
era|n. 时代；纪元
Java|n. 爪哇
rudder|n. （船）舵；（飞机的）方向舵
roll|v. 滚动；翻转；n. 卷；滚动；卷形物
steer|v. 驾驶；引导；掌舵；操纵；n. 犍牛
temporary|adj. 短暂的；临时的
plank|n. 厚板；板条；（政党的）政纲条目；v. 在…上铺板
fit|adj. 健康的；适合的；v. 符合；合身
Equator|n. 赤道
delay|v. 推迟；延缓；耽搁；n. 推迟；延缓；耽搁
influence|n. 影响（力）；有影响的人或物；v. 影响
pride|n. 骄傲；自豪；自尊；v. 对…感到自豪
taste|n. 味觉；味道；品味；喜好；v. 品尝；有…味道
exert|v. 运用；施加
subtle|adj. 微妙的；细微的；隐晦的
advertiser|n. 登广告者；广告商
classify|v. 分类；归类
magic|n. 魔术；魔法；adj. 魔术（似）的；神奇的
sample|n. 样品；样本；v. 尝试，体验；抽样；节录
devise|v. 想出；设计；发明
capture|v. 逮捕；夺取；吸引；记录；准确地描述；n. 抓捕；攻占
manufacturer|n. 制造商
wheelbarrow|n. 手推车；独轮车
boot|n. 靴子；长筒靴
ingredient|n. 成分；配料；要素；因素
crane|n. 起重机；鹤
anticipate|v. 预料；预期；期望；抢先；提前使用
philosopher|n. 哲学家
wisdom|n. 智慧；明智；学问
priest|n. 牧师；神父；教士
spiritual|adj. 精神上的；心灵的
grudge|n. 怨恨；积怨；嫌隙；v. 勉强做；不情愿地给；吝惜
surgeon|n. 外科医生
passer-by|n. 过路人；行人
dignity|n. 尊严；高贵；尊贵；庄严
deliberately|adv. 有意地；蓄意地；谨慎地
consequence|n. 后果；结果
afflict|v. 使痛苦；使苦恼；折磨
ease|v. 缓解；减轻；n. 安逸；轻松
nature|n. 自然；本性
contempt|n. 蔑视；轻蔑
envious|adj. 羡慕的；忌妒的
wares|n. 商品；货物
anchor|n. 锚；靠山；台柱子；v. 抛锚；使稳固；主持节目
deck|n. 甲板；舱面
silverware|n. 银器
tempt|v. 诱惑；引诱；怂恿；劝诱
bargain|n. 交易；便宜货；协议；v. 讨价还价
disembark|v. 上岸；下船；登陆
assail|v. 攻击；困扰；抨击；袭击
marble|n. 大理石；弹珠；理智；adj. 大理石的
inscribe|v. 题写；铭刻；题名
favour|n. 喜爱；赞同；v. 赞成；有利于；偏爱
gesticulate|v. （讲话时）以手势示意
outrageous|adj. 粗暴的；极无礼的；十分讨厌的；骇人的
thrust|v. 刺；戳；n. 推力；刺；戳
largely|adv. 大部分地；主要地；大量地
comic|adj. 喜剧的；滑稽的；n. 连环漫画；喜剧演员
universal|adj. 普遍的；全体的
comedian|n. 喜剧演员；滑稽人物
distasteful|adj. 使厌恶的；使憎恶的；使不悦的
pester|v. 不断打扰；纠缠；烦扰
dread|v. 害怕；畏惧；n. 恐惧；畏惧
recovery|n. 恢复；复苏
plaster|n. 灰泥；膏药；熟石膏；v. 涂以灰泥；敷以膏药
console|v. 安慰；慰问；n. 控制台；操纵台
hobble|v. 跛行；蹒跚；捆绑（马等的）两腿
compensate|v. 补偿；弥补
mumble|v. 咕哝；含糊地说；n. 含糊的话；咕哝
labourer|n. 劳动者；劳工；工人
overnight|adv. 在夜里；突然；adj. 整晚的；突然的
hay|n. 干草
corn|n. 玉米；谷物
moonlight|n. 月光；v. 兼职；（尤在夜间）从事第二职业
conscientious|adj. 本着良心的；勤勉认真的；尽责的
suspect|v. 猜想；怀疑；n. 嫌疑犯；adj. 令人怀疑的；不可信的
desert|n. 沙漠；荒漠；v. 抛弃
regiment|n. （军队的）团；大群；大量；v. 把...编组；严格管制
action|n. 行动；行为
recluse|n. 隐居者；遁世者；隐士
lovable|adj. 可爱的；惹人爱的
eccentric|adj. 古怪的；偏离轨道的；n. 怪人；偏离轨道运行
disregard|v. 漠视；不理会；不顾；n. 漠视；忽视
convention|n. 习俗；大会；协定
conscious|adj. 有意识的；有知觉的；刻意的
invariably|adv. 不变地；总是
routine|n. 常规；例行公事；adj. 常规的；例行公事的
shrewd|adj. 精明的；敏锐的；机灵的
eccentricity|n. 怪癖；古怪；离心率
legendary|adj. 传奇的；传说的；享有盛名的
snob|n. 势利小人；谄上欺下的人；恃才傲物的人
intensely|adv. 强烈地；极度；剧烈地
bedraggled|adj. 湿漉漉的；乱蓬蓬的；全身泥污的；脏兮兮的；v. 弄脏；弄湿；弄皱；“bedraggle”的过去式和过去分词
dump|v. 倒空；n. 垃圾场
apologetic|adj. 道歉的；谢罪的；愧疚的
reprimand|n. 申斥；谴责；v. 斥责；训斥
stage|n. 阶段；时期；舞台；v. 举行；上演
elaborate|v. 精心制作；详尽阐述；adj. 精心制作的；详尽的
salvage|v. 打捞；挽救；挽回；抢救；n. （对财物等的）抢救；抢救出的财物
Barents|n. 巴伦支海
sunken|adj. 沉没的；凹陷的
cargo|n. 货物
bullion|n. 金（银）块；金（银）条
scour|v. 擦净；擦亮；四处搜索；n. 擦；冲刷
chest|n. 胸部；胸膛；箱子；柜子
contents|n. 内容；含量；“content”的复数
belongings|n. 所有物；财产
item|n. 项目；条款；一则； 一件物品或商品
cruiser|n. 巡洋舰；游艇
find|v. 找；找到；发现；认为
log book|phrase. 日志簿；日记簿；航海日记
piece|n. 片；块；件；作品；v. 拼凑
convoy|n. 护送；护航；护卫；v. 护航；护送
torpedo|n. 鱼雷；v. 用鱼雷袭击；完全摧毁
submarine|n. 潜水艇；adj. 海面下的
naval|adj. 海军的
ministry|n. （政府的）部；（全体）牧师
prelude|n. 前奏；序曲；序幕
unforeseen|adj. 意料之外的；未预见到的
series|n. 连续；系列
catastrophe|n. 灾难
crockery|n. 陶器；瓦器
suburb|n. 市郊；郊区
collide|v. 碰撞；相撞；冲突
learner|n. 学习者；初学者
panic|n. 恐慌；惊恐；v. 使…惊慌；感到恐慌
windscreen|n. 挡风玻璃
alongside|prep. 在…旁边；与…一起；adv. 在…的侧面；与…并排
slide|v. （使）滑动；下滑；n. 幻灯片；滑梯
stray|v. 迷路；偏离；走失；n. 离群者；走散者；adj. 走失的；离群的
confusion|n. 困惑，混乱；混淆
greedily|adv. 贪婪地；狼吞虎咽地
devour|v. 吞食；吞噬；狼吞虎咽地吃；如饥似渴地看
antique|n. 古董；古代文物；adj. 古老的；过时的
fascination|n. 迷惑力；魅力
forbidding|adj. 冷峻的；令人生畏的；可怕的；v. 禁止；不准；“forbid”的现在分词
muster|v. 鼓起；集合；召集；n. 集合；集合的人群
pretentious|adj. 自命不凡的；自负的；矫饰的
labyrinth|n. 迷宫；难解的事件；错综复杂
musty|adj. 有霉味的；发霉的
rarity|n. 罕见；稀有；珍品
assorted|adj. 混杂的；什锦的；各样的
junk|n. 废旧杂物；无价值的东西
carve|v. 雕刻；切开
dagger|n. 匕首；短剑
litter|n. 垃圾；杂物；一窝小崽；担架；v. 乱扔；乱丢杂物
dedicated|adj. 专注的；献身的；专用的；v. 奉献；献身；致力；“dedicate”的过去式和过去分词
bargain hunter|phrase. 到处寻找便宜货的人
dealer|n. 经销商；商人
cherish|v. 珍爱；爱惜；怀念；怀有（感情）；抱有（希望）
amply|adv. 充足地；详细地
masterpiece|n. 杰作；名著
mere|adj. 仅仅的；只不过的
prise|v. 撬开
miniature|adj. 微型的；小型的；v. 使成小型；n. 微型
composition|n. 构成；作品，作曲；（学生）作文；创作技巧
justice|n. 公正；公平；法官
court|n. 法院；球场；宫廷；v. 求爱；献殷勤；招致
law|n. 法律；定律
innocence|n. 无罪；清白；纯真
undertake|v. 承担；从事；保证
arduous|adj. 艰巨的；费力的
abstract|adj. 抽象的；非具体的；深奥的；v. 提取；抽取；作…的摘要；n. 摘要；概要；抽象派艺术作品
concept|n. 观念，概念
mete out|phrase. 给予；处置
interference|n. 干扰；干涉；妨碍
accord|v. 符合；一致；给予；n. 协议；条约；协调
premises|n. （企业或机构使用的）房屋及土地；n. 前提；假定；“premise”的复数
convert|v. 转换；转变；变换；使...改变信仰；n. 皈依者
disused|adj. 不再使用的；废弃的；n. 不用；废弃；“disuse”的过去式和过去分词
fireplace|n. 壁炉
muffle|v. 使声音降低；压抑（声音）；蒙住；裹
chip|n. 炸薯条；芯片；碎片；v. 削成碎片；碎裂
blacken|v. （使）变黑；中伤；诋毁
emerge|v. 浮现；显露；暴露
credulous|adj. 轻信的
improbable|adj. 不大可能的
obscure|adj. 昏暗的；不清楚的；无名的；v. 使模糊；使隐晦；使费解
maidservant|n. 女仆；侍女
presume|v. 假设；假定；设想；冒昧
wickedly|adv. 坏心眼地；居心叵测地
plot|n. 小块用地；图表；情节；阴谋；秘密计划；v. 划分；设计情节；绘图；密谋
downfall|n. 没落；垮台；骤雨
naive|adj. 幼稚的；天真的；不成熟的
unacceptable|adj. 不能接受的
conspire|v. 阴谋策划；协力促成
incredible|adj. 难以置信的
resemblance|n. 相似；相像
scorn|n. 蔑视；v. 蔑视
acquaint|v. 使熟悉；使相识
reunite|v. 再结合；再统一；重聚
assume|v. 假定；设想；呈现；承担
express|v. 表达；表示；n. 特快列车；快件服务；adj. 明确的
punctual|adj. 准时的
condition|n. 状态；条件；环境；v. 使适应；影响；保养
unshakable|adj. 不可动摇的；坚定不移的
faith|n. 信心；信仰；信任；真诚；忠实
cancel|v. 取消
exceptionally|adv. 例外地；异常地；特殊地
dislocate|v. 使关节脱位；使脱臼；使混乱
blame|v. 责怪；归咎于；指责；n. 责备；责任；指责
consult|v. 咨询；查询；请教
direct|adj. 直接的；v. 指导；指示
odd|adj. 奇怪的；奇数的；不成对的；不经常的；adv. （用于数字后）大约
reflect|v. 反射；反映；反省；思考；仔细考虑
advantage|n. 优势；好处；有利条件
mighty|adj. 强大的；有力的；巨大的；adv. 非常；很；极其
dawdle|v. 磨蹭；拖延；游荡
chug|n. （火车等缓行时的）轧轧响声；v. 发出轧轧声
lodge|n. 小舍；传达室；v. 存放；借宿；提出（抗议）
complaint|n. 投诉；抱怨
triumph|v. 战胜；成功；n. 胜利；凯旋
asterisk|n. 星号；v. 给…注上星号
conduct|v. 实施；表现；指挥；引导；传导（电、热）；n. 行为，举止；实施方式
calendar|n. 日历
historian|n. 历史学家
unique|adj. 唯一的；独特的
steadily|adv. 稳定地；稳固地
solely|adv. 只；仅；唯；单独地
video|n. 视频；录像；adj. 视频的；录像的
CD-ROM|abbr. 光盘只读存储器；光盘驱动器；“compact disc read-only memory”的缩写
bewilder|v. 使迷惑；使...不知所措
deduce|v. 推断；演绎；推论
scanty|adj. 欠缺的；过小的；少量的
mammoth|adj. 巨大的；庞大的；n. 猛玛（象）；庞然大物
tusk|n. 长牙；獠牙；尖牙；v. 用长牙齿戳
nomad|n. 游牧民；流浪者；游牧生活；流浪生活
correlate|v. （使）相互关联
clue|n. 线索；提示
insignificant|adj. 无关紧要的；不重要的
shed|n. 棚屋；v. 摆脱；去除；使脱落
advent|n. 到来；出现
agriculture|n. 农业
assumption|n. 假设；假想
dot|n. 小圆点；点；v. 在...上加点
symbol|n. 符号；象征；标志
engrave|v. 在…上雕刻；铭记
ivory|n. 象牙；乳白色
phase|n. 阶段；时期；相位；v. 分阶段进行
primitive|adj. 原始的；简陋的
depict|v. 描述；描绘
rough|adj. 粗糙的；粗暴的；粗略的；艰苦的；adv. 粗野地；艰苦地
boulder|n. 巨石；大圆石
pit|n. 坑；凹洞；矿井；v. 使凹陷
perturb|v. 使焦虑；使不安；扰乱
underestimate|v. 低估；对…估计不足；n. 低估；轻视
swerve|v. 突然转向；改变方向；n. 转向
scoop|n. 勺子；球型勺；长柄勺；独家新闻；v. 用勺舀；挖空；抢先获得
hammer|n. 锤子；v. 锤打
ominously|adv. 恶兆地；不吉利地；预示地
rip|v. 撕裂；扯开 ；n. 裂口；裂缝
zigzag|adj. 之字形的；曲折的；锯齿形的；n. 之字形； 锯齿形；adv. 作Z字形地；曲折地；v. 成Z字形；曲折前进
shallow|adj. 浅的；浅薄的
grind|v. 碾碎；磨碎；n. 苦差事
petrol|n. 汽油
stretch|v. 伸展；延伸；持续；n. 伸展；弹性；一段
obstacle|n. 障碍
clump|n. 丛；笨重的脚步声；土块；v. 使成一丛；凝结成块；拖着沉重的步子走
fissure|n. 裂缝；裂隙
renew|v. 重新开始；更新
pleading|n. 恳求；答辩状；诉状；adj. 恳求的；v. 恳求；辩护；答辩；以…为理由；“plead”的现在分词
gear|n. 用具；齿轮；排挡；v. 换挡；调整；（使）适合
astride|adv. 叉开两腿；跨着；骑着；prep. 跨着；骑着
crack|n. 裂缝；裂纹；噼啪声；v. 断裂；破裂；打击；使崩溃
halt|n. 停顿下来；v. 暂停；中断
dashboard|n. 仪表板；仪表盘
hoax|n. 骗局；恶作剧；戏弄；v. 愚弄
